DATA,SOJA,MILHO,TRIGO,COMPRA,VENDA
,,,,,
03/05/2024,"R$ 114,00","R$ 48,00","R$ 67,00","R$ 5,07","R$ 5,07"
06/05/2024,"R$ 115,00","R$ 48,00","R$ 67,00","R$ 5,07","R$ 5,07"
07/05/2024,"R$ 116,00","R$ 48,00","R$ 67,00","R$ 5,06","R$ 5,06"
08/05/2024,"R$ 117,00","R$ 48,00","R$ 67,00","R$ 5,09","R$ 5,09"
10/05/2024,"R$ 117,00","R$ 49,00","R$ 68,00","R$ 5,16","R$ 5,16"
13/05/2024,"R$ 118,00","R$ 50,00","R$ 69,00","R$ 5,15","R$ 5,15"
14/05/2024,"R$ 117,00","R$ 50,00","R$ 70,00","R$ 5,14","R$ 5,14"
15/05/2024,"R$ 117,00","R$ 50,00","R$ 70,00","R$ 5,14","R$ 5,14"
16/05/2024,"R$ 117,00","R$ 50,00","R$ 70,00","R$ 5,14","R$ 5,14"
17/05/2024,"R$ 118,00","R$ 50,00","R$ 72,00","R$ 5,13","R$ 5,13"
20/05/2024,"R$ 118,00","R$ 50,00","R$ 72,00","R$ 5,12","R$ 5,12"
21/05/2024,"R$ 119,00","R$ 50,00","R$ 73,00","R$ 5,11","R$ 5,11"
22/05/2024,"R$ 121,00","R$ 50,00","R$ 74,00","R$ 5,10","R$ 5,10"
23/05/2024,"R$ 121,00","R$ 51,00","R$ 74,00","R$ 5,15","R$ 5,15"
24/05/2024,"R$ 121,00","R$ 52,00","R$ 74,00","R$ 5,14","R$ 5,14"
27/05/2024,"R$ 121,00","R$ 53,00","R$ 74,00","R$ 5,15","R$ 5,15"
28/05/2024,"R$ 120,00","R$ 53,00","R$ 74,00","R$ 5,17","R$ 5,17"
29/05/2024,"R$ 120,00","R$ 53,00","R$ 74,00","R$ 5,15","R$ 5,15"
31/05/2024,"R$ 120,00","R$ 52,00","R$ 75,00","R$ 5,20","R$ 5,20"
03/06/2024,"R$ 118,00","R$ 50,00","R$ 75,00","R$ 5,24","R$ 5,24"
04/06/2024,"R$ 119,00","R$ 50,00","R$ 75,00","R$ 5,24","R$ 5,24"
05/06/2024,"R$ 118,00","R$ 50,00","R$ 75,00","R$ 5,27","R$ 5,27"
06/06/2024,"R$ 119,00","R$ 50,00","R$ 75,00","R$ 5,28","R$ 5,28"
07/06/2024,"R$ 118,00","R$ 50,00","R$ 75,00","R$ 5,27","R$ 5,27"
10/06/2024,"R$ 119,00","R$ 49,00","R$ 75,00","R$ 5,28","R$ 5,28"
11/06/2024,"R$ 121,00","R$ 49,00","R$ 75,00","R$ 5,37","R$ 5,37"
12/06/2024,"R$ 123,00","R$ 49,00","R$ 75,00","R$ 5,35","R$ 5,35"
13/06/2024,"R$ 123,00","R$ 48,00","R$ 75,00","R$ 5,39","R$ 5,39"
14/06/2024,"R$ 122,00","R$ 48,00","R$ 75,00","R$ 5,40","R$ 5,40"
17/06/2024,"R$ 120,00","R$ 48,00","R$ 75,00","R$ 5,36","R$ 5,36"
18/06/2024,"R$ 121,00","R$ 48,00","R$ 75,00","R$ 5,41","R$ 5,41"
19/06/2024,"R$ 122,00","R$ 48,00","R$ 75,00","R$ 5,41","R$ 5,41"
20/06/2024,"R$ 122,00","R$ 49,00","R$ 75,00","R$ 5,46","R$ 5,46"
21/06/2024,"R$ 121,00","R$ 49,00","R$ 75,00","R$ 5,42","R$ 5,43"
24/06/2024,"R$ 121,00","R$ 49,00","R$ 75,00","R$ 5,44","R$ 5,44"
25/06/2024,"R$ 121,00","R$ 49,00","R$ 75,00","R$ 5,40","R$ 5,40"
26/06/2024,"R$ 123,00","R$ 49,00","R$ 75,00","R$ 5,43","R$ 5,43"
27/06/2024,"R$ 123,00","R$ 49,00","R$ 75,00","R$ 5,51","R$ 5,51"
28/06/2024,"R$ 123,00","R$ 49,00","R$ 75,00","R$ 5,52","R$ 5,52"
01/07/2024,"R$ 123,00","R$ 49,00","R$ 75,00","R$ 5,56","R$ 5,56"
02/07/2024,"R$ 124,00","R$ 50,00","R$ 75,00","R$ 5,59","R$ 5,59"
03/07/2024,"R$ 123,00","R$ 50,00","R$ 75,00","R$ 5,67","R$ 5,67"
04/07/2024,"R$ 123,00","R$ 50,00","R$ 75,00","R$ 5,59","R$ 5,59"
05/07/2024,"R$ 123,00","R$ 48,00","R$ 75,00","R$ 5,48","R$ 5,48"
08/07/2024,"R$ 120,00","R$ 50,00","R$ 75,00","R$ 5,50","R$ 5,50"
09/07/2024,"R$ 117,00","R$ 48,00","R$ 76,00","R$ 5,47","R$ 5,47"
10/07/2024,"R$ 117,00","R$ 47,00","R$ 76,00","R$ 5,44","R$ 5,44"
11/07/2024,"R$ 117,00","R$ 47,00","R$ 76,00","R$ 5,40","R$ 5,40"
12/07/2024,"R$ 117,00","R$ 47,00","R$ 76,00","R$ 5,41","R$ 5,41"
15/07/2024,"R$ 115,00","R$ 47,00","R$ 76,00","R$ 5,45","R$ 5,45"
16/07/2024,"R$ 116,00","R$ 47,00","R$ 76,00","R$ 5,46","R$ 5,46"
17/07/2024,"R$ 117,00","R$ 47,00","R$ 76,00","R$ 5,43","R$ 5,43"
18/07/2024,"R$ 118,00","R$ 48,00","R$ 76,00","R$ 5,47","R$ 5,47"
19/07/2024,"R$ 119,00","R$ 48,00","R$ 76,00","R$ 5,54","R$ 5,54"
22/07/2024,"R$ 120,00","R$ 49,00","R$ 76,00","R$ 5,55","R$ 5,55"
23/07/2024,"R$ 122,00","R$ 50,00","R$ 76,00","R$ 5,56","R$ 5,56"
24/07/2024,"R$ 123,00","R$ 51,00","R$ 76,00","R$ 5,58","R$ 5,58"
25/07/2024,"R$ 123,00","R$ 51,00","R$ 76,00","R$ 5,63","R$ 5,63"
26/07/2024,"R$ 122,00","R$ 50,00","R$ 76,00","R$ 5,64","R$ 5,64"
29/07/2024,"R$ 122,00","R$ 50,00","R$ 76,00","R$ 5,65","R$ 5,65"
30/07/2024,"R$ 121,00","R$ 50,00","R$ 76,00","R$ 5,65","R$ 5,65"
31/07/2024,"R$ 121,00","R$ 50,00","R$ 76,00","R$ 5,65","R$ 5,65"
01/08/2024,"R$ 122,00","R$ 50,00","R$ 76,00","R$ 5,66","R$ 5,66"
02/08/2024,"R$ 124,00","R$ 50,00","R$ 76,00","R$ 5,67","R$ 5,67"
05/08/2024,"R$ 124,00","R$ 50,00","R$ 76,00","R$ 5,74","R$ 5,74"
06/08/2024,"R$ 121,00","R$ 50,00","R$ 76,00","R$ 5,76","R$ 5,76"
07/08/2024,"R$ 121,00","R$ 50,00","R$ 76,00","R$ 5,65","R$ 5,65"
08/08/2024,"R$ 120,00","R$ 49,00","R$ 76,00","R$ 5,61","R$ 5,61"
09/08/2024,"R$ 118,00","R$ 49,00","R$ 76,00","R$ 5,62","R$ 5,62"
12/08/2024,"R$ 115,00","R$ 49,00","R$ 76,00","R$ 5,51","R$ 5,51"
13/08/2024,"R$ 114,00","R$ 49,00","R$ 76,00","R$ 5,49","R$ 5,49"
14/08/2024,"R$ 113,00","R$ 49,00","R$ 76,00","R$ 5,49","R$ 5,49"
15/08/2024,"R$ 114,00","R$ 49,00","R$ 76,00","R$ 5,45","R$ 5,45"
16/08/2024,"R$ 114,00","R$ 49,00","R$ 76,00","R$ 5,46","R$ 5,47"
19/08/2024,"R$ 113,00","R$ 49,00","R$ 76,00","R$ 5,46","R$ 5,46"
20/08/2024,"R$ 114,00","R$ 49,00","R$ 76,00","R$ 5,42","R$ 5,42"
21/08/2024,"R$ 115,00","R$ 49,00","R$ 76,00","R$ 5,45","R$ 5,45"
22/08/2024,"R$ 116,00","R$ 50,00","R$ 76,00","R$ 5,47","R$ 5,47"
23/08/2024,"R$ 116,00","R$ 50,00","R$ 76,00","R$ 5,55","R$ 5,55"
26/08/2024,"R$ 117,00","R$ 50,00","R$ 76,00","R$ 5,53","R$ 5,53"
